id,name,district,street,station,lines,d_m,area_m2,type,built_year,units_total,buildings,layout_main,large_unit,resettlement,confidence,note
11,长春花园,光明区,公明街道,上村,13,47.4,64463,住宅小区,1992（单一来源）,1290（单一来源）,30（另有31栋口径）,未知（在售/在租见1-2房小面积为主）,否,无（自身是旧改拆迁对象：深圳房地产信息网已收录「长春花园旧改」城市更新项目）,单一来源,公明街道公明社区长春中路98号，距6号线公明广场站约730米（OSM把它挂在公明广场/上村站附近）。90年代板楼老小区：容积率3、仅146个车位、2024年做过老旧小区环境整治。已列入城市更新，未来会产生回迁房但目前不是回迁房。1992年/1290户仅见于单一二手数据源，未能交叉核实。
12,富豪花园,光明区,公明街道,公明广场,13/6,33.5,39486,住宅小区,1995（房天下，单一来源）,592（房天下，单一来源）,未知,未知（在租房源见1室30㎡、2室68㎡）,否,未知,单一来源,疑似同名混淆风险高：深圳至少还有龙岗坂田「富豪花园」（约533户/34栋/1993年）和香港沙田富豪花园；百度百科「富豪花园」条目（452户、1998年6月竣工、容积率6.31、总建面12.4万㎡）与本条不符，未采用。本条采用房天下「富豪花园(光明)」页数据：金辉路、592户、1995年建成，与OSM位置（公明广场站旁、2个面共39486㎡）一致。
13,特发学府朗园,光明区,公明街道,李松蓢,13,194.1,30078,住宅小区,2025（计划2025年12月带简装交房）,792（商品房）+132（公租房）,4栋住宅塔楼（3栋48层商品住宅+1栋25层保障房）+1所幼儿园,3房88-97㎡、4房114㎡、5房143㎡,部分,含配建保障房（1栋25层，公租房132套），非回迁房,确认,备案名「学府朗园」，位于公明街道李松蓢炮台路与志康路交汇处西南侧。占地约2.1万㎡、总建面约15.1万㎡、1080车位；OSM面30078㎡大于官方占地，可能含周边道路/配套。2023年11月18日开盘推790套。
14,伟城贤德瑞府,光明区,公明街道,李松蓢,13,33.1,9378,混合,未知（2026年初仍在配售/在售，交付年份未核实）,893（商品住宅157套+安居型商品房736套）,4（1栋A座商品房；1栋B/C座+2栋为安居房）,商品房3-4房 90-113㎡（三梯四户）；安居房2房约70㎡（319套）、3房约90㎡（118套）,部分,含安居型商品房736套（占82%），属保障房而非回迁房,确认,住建局备案：预售总面积72001.03㎡，商品住宅16051.52㎡/157套，安居型商品房55949.51㎡/736套。以套数计安居房占82%，若按主体属性也可归「安居房人才房」。占地约1.4万㎡、建面8.4万㎡、容积率6.38，OSM面9378㎡明显偏小（疑只圈了塔楼部分）。
15,宏发雍景城,光明区,公明街道,红花山,6,8.3,85353,住宅小区,2004（分期2003-2012）,972,25（另有30栋口径；含10栋多层+10栋小高层+3栋Townhouse/叠拼）,2-4房 61-131㎡为主，最大至192㎡（含别墅/Townhouse）,部分,无,确认,公明红花山公园旁（华发路/红花山路/别墅路围合）。容积率仅1.4、宗地95570㎡、建面13.38万㎡，是公明少见的低密大盘；OSM面85353㎡略小于宗地。车位口径809（乐有家）/1210（都市圈）不一致。
16,宏发·美域,光明区,公明街道,红花山,6,6.0,42223,住宅小区,2007（分期至2015）,623,10,未知,未知,无,确认,公明中心区华发路与别墅路交汇处东南面（宏发雍景城斜对面），开发商深圳市宏发房地产。链家「10栋/623户/2007年建成」与深圳都市圈「10栋/2007-2015年/665车位/商品房」互相印证；户型面积段未查到。
17,明景园,光明区,公明街道,红花山,6,157.9,5820,不确定,未知,未知,未知,未知,未知,未知,推测,查无资料：深圳都市圈光明区53个小区库、深圳房地产信息网光明区178个楼盘库中均无此名；房产平台也检索不到。OSM面仅5820㎡（红花山站旁，公明街道），规模只够1-3栋楼，疑为小型住宅组团、单位宿舍或俗称/旧名（也可能与「明景苑」「明安花园」等混淆）。需实地或产权登记核实，本条不做任何数值推断。
18,中海时光境,光明区,凤凰街道,光明城,13/6B,109.3,27985,住宅小区,未知（2023年9月首次预售，交付年份未核实）,1739（可售商品房约1537 + 安居型商品房202）,4（约49-50层、150米超高层）,3房82-89㎡、4房108㎡（82-108㎡）,部分,含配建安居型商品房202套，非回迁房,确认,备案名「时光境花园」，宗地A503-0100，2022年10月中海31.92亿竞得。宗地28564.79㎡、建设用地27057.35㎡（OSM 27985㎡ 高度吻合）、总建面约23万㎡、1718车位、物业费4.5元/㎡。位于凤凰街道侨凯路与科林路交汇处，邻13号线同观路站/光明城高铁站（OSM标光明城站）。
19,金融街华发·融御华府,光明区,凤凰街道,凤凰城,13/6,105.5,23364,住宅小区,未知（备案售罄，交付年份未核实）,784,3（1栋ABC座、2栋、3栋AB座）,3-4房 92-129㎡（共4种户型，单层四户）,部分,含建成后移交政府的人才房约1.4万㎡，非回迁房,确认,备案名「金融街华发融御花园」。占地约2.4万㎡（OSM 23364㎡ 吻合）、计容10.8万㎡＝可售住宅8.4万㎡+移交政府人才房1.4万㎡，容积率4.5，另配社区商业、9班幼儿园、社康、菜市场。两批备案共849套（含商铺65套），住宅784套。
20,华润润晖府,光明区,凤凰街道,德雅路,13,145.6,17406,住宅小区,2024（房天下二手房页标竣工2024-12，单一来源）,未知,5（4栋32-34层住宅+1栋公寓）,3-4房 89-110㎡,部分,未见配建回迁房记录,确认,备案名「润晖府」，凤凰街道光侨路与侨凯路交汇处。规定占地17195.58㎡（OSM 17406㎡ 高度吻合）、容积率4.6、住宅103710㎡+商业2500㎡+18班幼儿园6100㎡。含1栋公寓，故非纯住宅。华润「润系」双子之一（另一为玉塘街道润曦府），注意不要与润曦府/润曜府混淆。总户数未查到。
21,润宏城·润雅园,光明区,凤凰街道,月亮路,13,126.7,19280,住宅小区,未知（2024-2025年分批预售，在建）,1091,3（1栋、2栋A/B/C座、3栋）,3房5款、4房3款，建面81-134㎡,部分,未知（润宏城位于凤凰街道塘尾社区，为华润置地+宏发大型综合开发，是否含回迁安置房未核实；润雅园本身为商品住宅）,确认,备案名「润雅园」，是润宏城一期首推地块，位于凤凰街道月亮路与塘荣路交叉口西北侧（OSM月亮路站 吻合，面19280㎡）。两批预售：1、3栋456套（2024年12月）、2栋ABC座644套。深圳房地产信息网物业类型标「商品住宅」（无公寓/写字楼）。
22,凤凰英荟城,光明区,凤凰街道,长圳,6,5.1,204830,安居房人才房,2022（市住房保障署2021年通告：预计2022年6月交付使用）,9672,未知,未知（保租房，含单房/两房/三房）,否,整体为公共租赁住房/保障性租赁住房（市级公租房+光明区保租房），非回迁房,确认,凤凰街道科裕路与光侨路交汇处东北侧，6号线长圳站旁。占地15.8万㎡、总建面约114.7万㎡（一说116万）、容积率5.72、商业约6.5万㎡；总房源9672套，其中公租房口径在6668→7056套之间变动过。OSM面204830㎡明显大于官方占地15.8万㎡，可能把周边配套/道路一起圈了。此条不是商品住宅小区，无学位/产权买卖属性。
23,深铁瑞城,光明区,凤凰街道,长圳,6,0.0,199939,住宅小区,未知（分三期；三期2026年在售，整体交付年份未核实）,4770,未知（三期为6栋46-51层，含1栋51层公租房+1栋51层保障房）,3房94-100㎡为主，部分至130㎡,部分,含配建公租房/安居房（保障房），非回迁房,确认,深圳地铁置业开发的6号线长圳站地铁上盖TOD：南邻光桥路、东靠科裕路、西接东长大道。深圳房地产信息网物业类型明确列「安居房、其他、商品住宅、商业」；总房源4770、车位3202（乐有家「规划户数4770」一致）。一期容积率2.97、1330套住宅+约6万㎡集中商业。OSM面199939㎡。
24,深圳地铁长圳车辆段上盖物业,光明区,凤凰街道,长圳,6,45.2,149193,住宅小区,未知,未知,未知,未知,未知,未知（若与深铁瑞城同项目，则含配建公租房/安居房）,推测,"疑为重复面/上位名称：本条中心点(22.731441,113.923382)与 id23「深铁瑞城」(22.731055,113.923760)相距仅约50米，同为6号线长圳站地铁上盖、同属深圳地铁置业开发范围，OSM面149193㎡与深铁瑞城199939㎡大面积重叠。检索不到以「长圳车辆段上盖物业」独立命名的楼盘资料。建议与 id23 合并去重，不要重复计入户数。注意：邻近的 id22 凤凰英荟城（东侧约500米）是另一个独立的公租房项目，不要混为一谈。"
25,安居澜庭,光明区,新湖街道,中大,6B,142.5,69306,安居房人才房,未知,未知,未知,未知,未知,未知（若成立则整体为保障房，非回迁房）,推测,本次检索渠道（深圳房地产信息网光明区178个楼盘库、深圳都市圈光明小区库、乐有家、深安居官网入口）均未命中「安居澜庭」，且通用搜索通道在本次会话被限流，无法交叉核实。判为「安居房人才房」的唯一依据是命名惯例：深圳市安居集团/人才安居集团项目普遍以「安居XX」冠名（如安居萃云阁、安居鸣鹿苑、安居凤桐苑）。位置：新湖街道、6号线支线中大站附近，OSM面69306㎡（体量不小，符合保障房大盘）。所有数值字段一律留「未知」，请二次核实。
26,玺云著花园,光明区,新湖街道,科学公园,6,118.7,21233,住宅小区,未知（2020年8月线上选房、10月售罄，交付年份未核实）,1116,7（分两期开发）,3-4房 85-117㎡（备案988套，86-117㎡）,部分,未见配建回迁房记录,确认,新湖街道楼村社区硕泰路西侧、6号线科学公园站旁（OSM面21233㎡）。深圳房地产信息网物业类型仅「商品住宅」，751车位，开发商深圳洺悦房地产（电建系）。地块另需代建学府公园及一栋不低于200米的光明地标。
27,华侨城·九樾广场,光明区,新湖街道,科学公园,6,124.2,6866,混合,未知,448（住宅部分为「菁英人才房」）,未知,66-88㎡（人才房）,否,住宅部分整体为人才房（保障房），非回迁房,单一来源,约26万㎡的光明中心TOD地标综合体（写字楼+大型商业+人才房），6号线科学公园站北侧。深圳房地产信息网：总房源448、车位358、物业类型字段为空、标签含「品质写字楼/综合体/自带大型商业」，动态明确写「建面约66-88㎡菁英人才房即将入市」。OSM面仅6866㎡，只是塔楼落地面，不代表整个综合体。不是普通商品住宅小区。
28,安居·鸣鹿苑北区,光明区,玉塘街道,长圳,6,86.4,41786,安居房人才房,未知（2019年5月开工；南区2025年11月入伙，北区交付时间未核实）,未知（全项目6426套；南区已配租2912套，北区约3500套属推算未核实）,14（全项目主体，装配式塔楼）,未知,否,整体为人才住房/保障性租赁住房，非回迁房,确认,深圳市人才安居集团项目，住建部首批政策性租赁住房试点。北地块37348.11㎡（OSM 41786㎡ 吻合）、南地块35875.24㎡，全项目占地约7.3万㎡；位于玉塘街道光侨路以南、科裕路以西，紧邻6号线长圳站。北区地址：玉塘街道长松路166号。南北区套数拆分未在官方页面披露，故 units_total 留未知。
29,天汇时代花园·二期,光明区,马田街道,公明广场,13/6,122.2,33775,住宅小区,未知（一期口径为2010-2020年；二期具体交付年份未核实）,1570,未知,未知,未知,未知（同盘一期交易权属含「安居型商品房」，二期是否配建未核实）,单一来源,深圳房地产信息网条目名「天汇城二期」/备案名「天汇时代花园二期」：物业类型商品住宅+商业，总房源1570、车位1831、已售罄，位于松白路·6号线公明广场站旁（OSM面33775㎡，马田街道）。分期口径极易混淆：另有「天汇时代花园一期」（15栋、4873车位、商品房/安居型商品房）、「天汇城三期＝宏发天汇城」、「天汇城＝宏发天汇城二期」，引用时务必核对备案名。
30,秋园雅苑,光明区,马田街道,将围,13,56.9,11634,住宅小区,2009-2010,未知,4,未知,未知,未知（交易权属为「商品房/集资房」，疑含单位或原村民集资房部分）,单一来源,马田街道大围路20号（OSM面11634㎡、将围站旁 吻合4栋塔楼规模）。深圳都市圈：4栋塔楼、600车位、容积率2.5、绿化率23%、开发商深圳市龙岗南龙实业、定性「普通住宅小区」。户数与户型面积段查不到。「商品房/集资房」的混合权属是判断是否含保障/集资性质房源的关键线索，需产权核实。
31,端慧苑,光明区,马田街道,将围,13,162.0,8517,不确定,未知,未知,未知,未知,未知,未知,推测,查无资料：深圳房地产信息网光明区178楼盘库、深圳都市圈光明53小区库均无此名，通用搜索通道本次被限流。OSM面8517㎡（马田街道、将围站旁），规模约2-4栋。名称形态（「XX苑」）在深圳既常见于安居房/人才房，也常见于单位房与小型商品房，无法据此定性，故 type 记「不确定」，不做任何数值推断。需实地或产权登记核实。
32,益田假日府邸,光明区,马田街道,新庄,13,8.5,10927,混合,2017,569,5,住宅3房79-89㎡；商务公寓45/62/77㎡,否,无,确认,公明将石社区松白公路与公常公路交汇处（OSM面10927㎡，标马田街道新庄站）。深圳都市圈：2017年建成、5栋、432车位、容积率4、房屋用途含普通住宅+底商+商业办公类+公寓+商务公寓；深圳房地产信息网：总房源569、类型「商品住宅、其他」，在售房源同时有45/62/77㎡公寓（约3.4-3.7万/㎡）和79-89㎡三房住宅（4.1-4.2万/㎡）——住宅与商务公寓同盘，故判混合。
33,薯田埔花园,光明区,马田街道,薯田埔,6,12.3,53284,不确定,未知,未知,未知,未知,未知,未知（同片区存在「佳兆业薯田埔旧村旧改」城市更新项目，本项与其关系未核实）,推测,查无「薯田埔花园」小区资料：深圳房地产信息网光明区楼盘库、深圳都市圈光明小区库均无收录（该库同片区只有「佳兆业薯田埔旧村旧改」和「龙湖·御湖境」）。OSM面53284㎡不小（马田街道、6号线薯田埔站旁12米），但缺乏商品房销售/备案记录，疑为薯田埔社区的原村民统建楼/回迁安置类住宅群或俗称片区名，而非有开发商备案的商品房小区。所有数值字段留未知，需产权登记或实地核实。
34,金地明峰府,光明区,马田街道,薯田埔,6,103.1,30177,混合,2024-2025（未证实；2021-10-29出让、2022-07首次预售）,约1580（一说892套，为分批批售口径）,6（4栋商品住宅+1栋长租公寓+1栋安居房+幼儿园；政府批售文件只列3栋）,3房2厅 81-93㎡；4房2厅 116㎡,部分,无回迁房，但按出让条件配建安居型商品房不少于14030㎡,确认,光明区马田街道薯田埔，松白路与田园路交汇处东西两侧（OSM为2个地块）。70年产权普通住宅，开发商深圳市安达房地产开发有限公司、金地物业。户数/栋数三源口径不一：政府批售文件3栋892套（住宅800套）、咚咚新房约1580户6栋、Q房网992户2栋——因分期批售所致，已如实并列。OSM实测已建成3栋32-34层塔楼。
35,福庄花园,光明区,马田街道,薯田埔,6,4.6,18919,不确定,未知,未知,未知,未知,未知,未知,推测,"仅查到Q房网条目""福庄花园 [光明区 公明] 松白路5131号""，建成年代/户数/栋数/车位全为空且0套挂牌；乐有家页面0套在售；深圳都市圈光明区53个小区名录中无此条。OSM该地块（薯田埔站出口4.6m、1.9万㎡）内无任何已测绘楼栋，而四周（明皓府、瑞璟公馆、安居瑾华庭、龙湖·御湖境）均为新盘。综合判断很可能是城中村/村统建楼一类非商品房片区，但无任何来源直接证实，故写""不确定""。切勿据此当作可买的商品房小区。"
36,瑞璟公馆,光明区,马田街道,薯田埔,6,84.4,9023,安居房人才房,2026（预计2026-10-31前交付）,544,2栋（1栋分一/二单元，OSM实测3个塔身，34-41层）,2房约69㎡（233套）、3房约89㎡（149套）,否,整体为安居型商品房（政府配售，非回迁房）,确认,"光明区马田街道科达路与科先路交汇处西南侧，南侧松白路，距6号线薯田埔站约200m。2025-03开始配售，配售均价22251.81元/㎡，装配式建筑。名为""公馆""但性质是安居型商品房（有转让年限与增值收益上缴限制），不是商务公寓。233+149=382套与544套总量不符，说明还有其他户型/批次未在公开报道中列出。"
37,南头古城,南山区,南头街道,中山公园,12,130.7,141695,城中村改造,村民自建房多为1980s-2000s（古城本体始建1394年，明清新安县城）,未知,未知（成片握手楼）,未知（自建农民房，多为单间/一房出租单元）,否,综合整治型改造（未拆除重建）：原村民自有房以长租方式统租，租金较改造前上浮30%-50%，并给予原住民优先回迁与经营合作权；无商品性质回迁房,确认,"OSM该面标 landuse=residential + historic=yes + place=quarter + loc_name=九街/九街村 + 广东省文物保护单位（别名新安故城）。2016年起启动更新，走""微改造/有机更新""路线，2020-08-26南北街示范段开街。本质是历史文化街区+城中村，不是可按小区口径统计的商品住宅，OSM把它计入""住宅性用地""属于口径混入。"
38,义学街,南山区,南头街道,中山公园,12,110.0,39273,城中村改造,1992,未知,未知,未知,否,无（原村民自建房，尚未拆除重建）,单一来源,"Q房网该条目名称直接叫""义学街农民房""，地址""义学街3坊1号楼""，[南山 南头]，1992年建成、无电梯、无物业公司、不封闭管理、绿化率15%——典型未改造城中村农民房。OSM该面只有 landuse=residential + name=义学街，无其他属性。位于南头古城东门外侧，属12号线中山公园站范围。非商品住宅小区，OSM口径混入。"
39,莲城花园,南山区,南头街道,中山公园,12,155.3,31645,住宅小区,1997-1998,579,11,3房2厅 约98㎡,否,无,确认,"南头街道马家龙社区玉泉路55号（别名莲盛苑）。板楼、无电梯、39个单元、容积率2.65、300车位、物业费仅1元/㎡，房屋用途""普通住宅/商铺""，开发商深圳市大新城实业发展有限公司。深圳都市圈与Q房网在年代/栋数/容积率上完全一致。"
40,马家龙方卉园小区,南山区,南头街道,中山公园,12,194.6,18599,住宅小区,1995-2000,437,"13（Q房网）／2-3（深圳都市圈记2栋，Q房网简介称""只有3栋商品房""）",2房2厅 约70㎡为主，另有1房 40.5㎡,否,无,确认,"别名 方卉园／豪方卉园，艺园路83号（马家龙社区），一梯二户、无电梯、容积率3.4、157车位。深圳都市圈与Q房网地址一致但栋数口径不一（2 vs 13）。注意避免张冠李戴：网上流传的""36栋、929户、1989年、深圳英诺讯开发""是同片区的""马家龙小区""，不是方卉园；Q房网记开发商为深圳市新豪方集团。深圳都市圈房屋用途标""普通住宅/公寓""。"
41,建安大院,南山区,南头街道,中山公园,12,9.0,15981,宿舍单位房,未知,未知,未知,未知,未知,未知,推测,"OSM标注 addr:street=南山大道、addr:neighbourhood=马家龙社区、addr:subdistrict=南头街道、residential=apartments，占地约1.6万㎡，距12号线中山公园站出口仅9m。贝壳/链家、Q房网（全市小区库）、深圳都市圈（南山区935个小区名录）三处均查无""建安大院""，即完全没有二手房流通记录；结合""大院""这一深圳单位宿舍的典型命名，推测为单位/系统内宿舍大院（很可能与建安系统企业有关），但没有任何来源直接证实，故 confidence 记""推测""。周边49m处深圳都市圈另有""物资小区住宅楼""（1984-2001年、经济适用房），侧面说明该地块一带以单位房为主。"
42,臻林·悦湾汇,南山区,南头街道,中山公园,12,0.0,13440,商务公寓,"2024（营销口径""2024年底交房""）",约300,2（建筑高度140米）,约42-146㎡ 1-3房，层高3.4-3.6米,部分,项目由汉唐街城市更新（旧改）而来；是否含回迁安置房未查到,单一来源,"南头街道、12号线中山公园站上盖，OSM英文名 Bay Park Center。判为商务公寓的依据：多篇报道一致写""高端公寓+办公+酒店+商业的城市综合体""、""不限购""、层高3.4-3.6m、部分做""温德姆总裁公馆""酒店式出租——这几项在深圳基本是40年产权商务公寓的特征组合；但没有找到明确写""40年产权""的权威来源，故 confidence 只记单一来源（且全部为开发商/自媒体营销稿，非独立来源）。另注意区分：同片区""臻林天汇/合景同创·臻林""是113-222㎡住宅大宅产品，与悦湾汇不是一回事。开发商一说深圳市鑫得盛房地产有限公司。"
43,中山苑,南山区,南头街道,中山公园,12,4.1,13039,混合,2003（深圳都市圈记1993年，两源冲突）,324（仅百度百科，未二次证实）,8,50-150㎡，2房至5房（塔楼钢混）,部分,无,单一来源,"南头街道南头城社区，南山大道3128号，开发商上海中山市场发展有限公司。深圳都市圈交易权属标""商品房/军产""，且两个平台都显示""暂无价格数据/无二手房""——说明含军产成分、流通性差。建成年代冲突未能消解：Q房网与百度百科作2003年（竣工2003-02），深圳都市圈作1993年。"
44,中山颐景花园一期,南山区,南头街道,中山公园,12,157.9,9030,住宅小区,2001,364,9（深圳都市圈）／2（Q房网）,户型跨度极大：1房43㎡到5-6房206-210㎡，共72个户型,部分,无,确认,"南山大道3866号（马家龙社区），开发商深圳市南头投资发展有限公司（南头城股份公司系），部分电梯房、房屋用途""普通住宅/商业""。栋数两源冲突（9 vs 2），Q房网记单元总数9，疑为""栋/单元""口径互换。"
45,中山颐景花园二期,南山区,南头街道,中山公园,12,73.1,5818,住宅小区,2004,96,1-2（Q房网记1栋2单元，深圳都市圈记2栋）,2房2厅 72-83㎡,否,无,确认,南山大道3866号，开发商深圳市南头城实业股份有限公司（原村股份公司）／温州育英房地产，无电梯、容积率1.83、90车位。规模很小（OSM占地5818㎡）。
46,悠然天地,南山区,南头街道,南头古城,12,169.6,27313,住宅小区,2004-2005,524（另一口径515）,9,5房2厅 140.5／176／238㎡等大平层为主,是,无,确认,"全名""悠然天地家园""，南头街道红花园社区南光路149号（深南大道与南山大道交汇）。9栋12-18层小高层，其中6栋为两梯两户南北向板楼，绿化率61%、640车位、物业费2.8元/㎡。按户数与占地反算户均建面约128㎡，与""140-238㎡五房""的公开户型一致，判定大户型为主。"
47,荔林春晓,南山区,南头街道,南头古城,12,53.6,17793,住宅小区,2003,544,6,2房2厅 83-87㎡为主（顶层另有171㎡ 5-6房复式）,否,无,确认,南山大道2118号（荔香公园西侧），6栋21层塔楼：1-2层商场、3层架空层花园、4-21层住宅，占地约2万㎡/总建面约8万㎡，598车位、人车分流。三源（深圳都市圈、Q房网、咚咚新房）在544户/6栋/2003年上完全一致。
48,阳光荔景,南山区,南头街道,南头古城,12,69.2,15321,住宅小区,2001（深圳都市圈记2001-2009）,367（Q房网）／392（吉屋网）,14（深圳都市圈与Q房网一致）／4（吉屋网）,含5房141-152㎡，也有中小户型；按户数与容积率反算户均建面约108㎡,部分,无,确认,"全名""阳光荔景家园""，南头街36号（红花园社区），开发商深圳市源政房地产开发有限公司，容积率2.6、218-268车位、房屋用途""普通住宅/商业""。户数与栋数两套口径并列（吉屋网的4栋392户疑为某一期）。"
49,英达钰龙园,南山区,南头街道,南头古城,12,172.5,10294,混合,2004年入伙（两平台建成年代记2002-2016，因含后期商业/加建）,1315,4（A/B/C/D，30-32层；深圳都市圈记5栋）,40-108㎡ 1-3房,否,无,确认,"南新路3058号（深南大道与南新路交汇），别名""前海金街""。总建面约12.15万㎡、容积率7.9、510车位；A栋3梯9户、B栋3梯8户、C栋4梯20户、D栋4梯12户——高密度小户型。深圳都市圈房屋用途写""普通住宅/商业/底商/公寓""，Q房网写""商铺/住宅""，故判为混合（住宅为主+商业裙楼+部分公寓），主体仍是70年产权住宅。"
50,荔香源,南山区,南头街道,南头古城,12,166.9,5679,住宅小区,未知,未知,未知,未知,未知,未知,单一来源,"OSM与Q房网地址一致：荔园路4号（南山区），距12号线南头古城站约225m。Q房网只有物业费2-2.5元/㎡、95车位、容积率3.5、绿化率35%、部分电梯房、彩生活物业、管理处在""荔苑阁""楼下——建成年代、总户数、栋数、户型全部无数据；深圳都市圈南山935个小区名录中亦无此条。OSM占地仅5679㎡，规模极小，推测为1990s末-2000s初的小体量住宅（可能含商住），但户型与户数无法证实。"
51,前海华庭,南山区,南头街道,南头古城,12,69.2,5645,住宅小区,2000-2001,196（另一口径约200）,5,3房2厅 约102.8㎡（含复式）,否,无,确认,南头街38号（红花园社区），开发商深圳市前海股份有限公司（前海社区股份公司），前海物业管理，容积率4.24、190车位、部分电梯房，带南山实验总校学位。深圳都市圈与Q房网在栋数/年代/车位上一致。
